AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2019	81	Extracción de piedra, arena y arcillas	6.139	632	532	1	86,7	162,9
2019	89	Explotación de minas y canteras n.c.p.	5.879	329	298	0	50,7	0
2019	91	Servicios de apoyo para la extracción de petróleo y gas natural	16.625	1.344	1.197	1	72	60,2
2019	99	Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural	1.452	105	99	1	68,2	688,5
2019	101	Producción y procesamiento de carne y productos cárnicos, excepto pescado	67.178	9.112	8.173	13	121,7	193,5
2019	102	Elaboración de pescado y productos de pescado	8.744	826	770	1	88,1	114,4
2019	103	Preparación de frutas, hortalizas y legumbres	16.103	1.106	988	1	61,4	62,1
2019	104	Elaboración de aceites y grasas de origen vegetal	22.218	1.204	1.013	1	45,6	45
2019	105	Elaboración de productos lácteos	32.837	3.104	2.794	5	85,1	152,3
2019	106	Elaboración de productos de molinería, almidones y productos derivados del almidón	18.716	1.790	1.599	3	85,4	160,3
2019	107	Elaboración de productos alimenticios n.c.p.	122.816	10.031	8.849	6	72,1	48,9
2019	108	Elaboración de alimentos preparados para animales	5.857	470	419	0	71,5	0
2019	109	Servicios industriales para la elaboración de alimentos y bebidas	23	3	3	0	132,4	0
2019	110	Elaboración de bebidas	53.369	3.496	3.179	5	59,6	93,7
2019	120	Elaboración de productos de tabaco	5.778	244	173	1	29,9	173,1
2019	131	Fabricación de hilados y tejidos, acabado de productos textiles	22.005	1.973	1.728	2	78,5	90,9
2019	139	Fabricación de productos textiles n.c.p.	24.393	2.008	1.793	0	73,5	0
2019	141	Confección de prendas de vestir, excepto prendas de piel	34.019	1.556	1.467	2	43,1	58,8
2019	142	"Terminación y teñido de pieles; fabricación de artículos de piel"	69	1	1	0	14,6	0
2019	143	Fabricación de prendas de vestir de punto	3.316	250	236	0	71,2	0
2019	149	Servicios industriales para la industria confeccionista	77	3	3	0	39,2	0
2019	151	"Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería"	9.522	1.125	892	0	93,7	0
2019	152	Fabricación de calzado y de sus partes	15.639	835	721	0	46,1	0
2019	161	Aserrado y cepillado de madera	10.284	1.122	1.072	1	104,2	97,2
2019	162	Fabricación de productos de madera, corcho, paja y materiales trenzables	12.859	1.508	1.333	4	103,7	311,1
2019	170	Fabricación de papel y de productos de papel	31.702	3.048	2.645	3	83,4	94,6
2019	181	Impresión y servicios relacionados con la impresión	20.690	1.347	1.184	1	57,2	48,3
2019	182	Reproducción de grabaciones	319	14	14	0	43,8	0
2019	191	Fabricación de productos de hornos de “coque”	2.613	146	132	0	50,5	0
2019	192	Fabricación de productos de la refinación del petróleo	4.009	184	149	1	37,2	249,4
2019	201	Fabricación de sustancias químicas básicas	13.426	952	803	0	59,8	0
2019	202	Fabricación de productos químicos n.c.p.	53.987	3.278	2.914	1	54	18,5
2019	203	Fabricación de fibras manufacturadas	518	84	53	0	102,3	0
2019	204	Servicios industriales para la fabricación de sustancias y productos químicos	31	4	3	0	96,5	0
2019	210	Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico	39.574	1.857	1.721	0	43,5	0
2019	221	Fabricación de productos de caucho	12.147	1.501	1.337	2	110,1	164,6
2019	222	Fabricación de productos de plástico	47.819	5.003	4.304	4	90	83,6
2019	231	Fabricación de vidrio y productos de vidrio	6.453	768	704	1	109,1	155
2019	239	Fabricación de productos minerales no metálicos n.c.p.	33.044	3.753	3.234	1	97,9	30,3
2019	241	Industrias básicas de hierro y acero	24.126	2.653	1.716	1	71,1	41,4
2019	242	Fabricación de productos primarios de metales preciosos y metales no ferrosos	3.017	422	345	1	114,3	331,4
2019	243	Fundición de metales	6.922	942	691	1	99,8	144,5
2019	251	Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor	28.034	3.975	3.599	0	128,4	0
2019	252	Fabricación de armas y municiones	232	24	20	0	86,3	0
2019	259	"Fabricación de productos elaborados de metal n.c.p.; servicios de trabajo de metales"	56.888	6.886	5.975	3	105	52,7
2019	261	Fabricación de componentes electrónicos	1.198	125	120	1	100,2	834,9
2019	262	Fabricación de equipos y productos informáticos	2.424	105	96	0	39,6	0
2019	263	Fabricación de equipos de comunicaciones y transmisores de radio y televisión	1.214	121	113	0	93,1	0
2019	264	Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos	5.877	405	366	0	62,3	0
2019	265	Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica	3.280	196	177	0	54	0
2019	266	Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos	3.863	269	225	0	58,3	0
2019	267	Fabricación de instrumentos de óptica y equipo fotográfico	1.184	44	40	0	33,8	0
