AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2021;21;Silvicultura;2.413;198;193;1;80.000;414.400;
2021;22;Extracción de productos forestales;3.672;303;290;1;79.000;272.300;
2021;24;Servicios de apoyo a la silvicultura;2.713;291;284;1;104.700;368.600;
2021;31;Pesca y servicios de apoyo;14.094;1.674;1.578;7;112.000;496.700;
2021;32;Explotación de criaderos de peces. granjas piscícolas y otros frutos acuáticos (acuicultura);29;2;2;0;69.800;0.000;
2021;51;Extracción y aglomeración de carbón;2.166;113;104;0;48.000;0.000;
2021;52;Extracción y aglomeración de lignito;0;0;0;0;-;-;
2021;61;Extracción de petróleo crudo;30.263;1.226;1.106;0;36.500;0.000;
2021;62;Extracción de gas natural;40;0;0;0;0.000;0.000;
2021;71;Extracción de minerales de hierro;57;3;1;0;17.400;0.000;
2021;72;Extracción de minerales metalíferos no ferrosos;9.153;220;188;1;20.500;109.300;
2021;81;Extracción de piedra. arena y arcillas;6.268;580;525;2;83.800;319.100;
2021;89;Explotación de minas y canteras n.c.p.;6.450;382;341;0;52.900;0.000;
2021;91;Servicios de apoyo para la extracción de petróleo y gas natural;20.732;1.716;1.574;0;75.900;0.000;
2021;99;Servicios de apoyo para la minería. excepto para la extracción de petróleo y gas natural;1.825;93;89;1;48.800;548.000;
2021;101;Producción y procesamiento de carne y productos cárnicos. excepto pescado;74.372;9.722;9.146;7;123.000;94.100;
2021;102;Elaboración de pescado y productos de pescado;9.324;1.047;1.000;3;107.200;321.700;
2021;103;Preparación de frutas. hortalizas y legumbres;15.014;1.054;990;1;65.900;66.600;
2021;104;Elaboración de aceites y grasas de origen vegetal;21.333;1.019;918;2;43.000;93.800;
2021;105;Elaboración de productos lácteos;34.012;3.024;2.823;6;83.000;176.400;
2021;106;Elaboración de productos de molinería. almidones y productos derivados del almidón;18.210;1.616;1.491;3;81.900;164.700;
2021;107;Elaboración de productos alimenticios n.c.p.;122.162;9.637;8.894;17;72.800;139.200;
2021;108;Elaboración de alimentos preparados para animales;6.825;575;540;1;79.100;146.500;
2021;109;Servicios industriales para la elaboración de alimentos y bebidas;230;21;18;0;78.100;0.000;
2021;110;Elaboración de bebidas;53.475;3.434;3.177;3;59.400;56.100;
2021;120;Elaboración de productos de tabaco;5.372;224;181;0;33.700;0.000;
2021;131;Fabricación de hilados y tejidos. acabado de productos textiles;23.211;2.022;1.732;3;74.600;129.300;
